"Target gene symbol","Target gene ID","Target gene type","Target gene exp. level","Binding site records"
"ELAVL1","ENSG00000066044","protein_coding","ELAVL1","3"
"ELK3","ENSG00000111145","protein_coding","ELK3","1"
"ELOVL5","ENSG00000012660","protein_coding","ELOVL5","3"
"EMB","ENSG00000170571","protein_coding","EMB","5"
"EMC10","ENSG00000161671","protein_coding","EMC10","6"
"EMG1","ENSG00000126749","protein_coding","EMG1","1"
"EML1","ENSG00000066629","protein_coding","EML1","2"
"ENO1","ENSG00000074800","protein_coding","ENO1","10"
"ENPP4","ENSG00000001561","protein_coding","ENPP4","1"
"ENSA","ENSG00000143420","protein_coding","ENSA","4"
"EPB41","ENSG00000159023","protein_coding","EPB41","9"
"EPB41L2","ENSG00000079819","protein_coding","EPB41L2","17"
"EPB41L4A","ENSG00000129595","protein_coding","EPB41L4A","1"
"EPB41L5","ENSG00000115109","protein_coding","EPB41L5","5"
"EPB42","ENSG00000166947","protein_coding","EPB42","3"
"EPC2","ENSG00000135999","protein_coding","EPC2","5"
"EPHA7","ENSG00000135333","protein_coding","EPHA7","1"
"EPHB1","ENSG00000154928","protein_coding","EPHB1","2"
"EPHX3","ENSG00000105131","protein_coding","EPHX3","3"
"EPM2AIP1","ENSG00000178567","protein_coding","EPM2AIP1","2"
"ERC1","ENSG00000082805","protein_coding","ERC1","106"
"ERGIC1","ENSG00000113719","protein_coding","ERGIC1","5"
"ERGIC2","ENSG00000087502","protein_coding","ERGIC2","4"
"ERH","ENSG00000100632","protein_coding","ERH","2"
"ERI3","ENSG00000117419","protein_coding","ERI3","5"
"ERICH1","ENSG00000104714","protein_coding","ERICH1","4"
"ERLEC1","ENSG00000068912","protein_coding","ERLEC1","5"
"ERLIN2","ENSG00000147475","protein_coding","ERLIN2","1"
"ERVK13-1","ENSG00000260565","processed_transcript","ERVK13-1","4"
"ETNK1","ENSG00000139163","protein_coding","ETNK1","2"
"ETV1","ENSG00000006468","protein_coding","ETV1","20"
"EXOC1","ENSG00000090989","protein_coding","EXOC1","3"
"EXOC8","ENSG00000116903","protein_coding","EXOC8","2"
"EXOSC5","ENSG00000077348","protein_coding","EXOSC5","3"
"EXOSC7","ENSG00000075914","protein_coding","EXOSC7","1"
"EYA4","ENSG00000112319","protein_coding","EYA4","14"
"EZH1","ENSG00000108799","protein_coding","EZH1","6"
"EZH2","ENSG00000106462","protein_coding","EZH2","11"
"FAF2","ENSG00000113194","protein_coding","FAF2","2"
"FAM111B","ENSG00000189057","protein_coding","FAM111B","3"
"FAM122B","ENSG00000156504","protein_coding","FAM122B","3"
"FAM126A","ENSG00000122591","protein_coding","FAM126A","4"
"FAM127B","ENSG00000203950","protein_coding","FAM127B","1"
"FAM169A","ENSG00000198780","protein_coding","FAM169A","5"
"FAM178A","ENSG00000119906","protein_coding","FAM178A","3"
"FAM188B","ENSG00000106125","protein_coding","FAM188B","1"
"FAM19A5","ENSG00000219438","protein_coding","FAM19A5","2"
"FAM208B","ENSG00000108021","protein_coding","FAM208B","1"
"FAM20C","ENSG00000177706","protein_coding","FAM20C","3"
"FAM227A","ENSG00000184949","protein_coding","FAM227A","8"
"FAM53B","ENSG00000189319","protein_coding","FAM53B","3"
"FAM53C","ENSG00000120709","protein_coding","FAM53C","1"
"FAM8A1","ENSG00000137414","protein_coding","FAM8A1","1"
"FAM98B","ENSG00000171262","protein_coding","FAM98B","5"
"FANCF","ENSG00000183161","protein_coding","FANCF","1"
"FANCM","ENSG00000187790","protein_coding","FANCM","5"
"FANK1","ENSG00000203780","protein_coding","FANK1","6"
"FAR2","ENSG00000064763","protein_coding","FAR2","5"
"FASTKD2","ENSG00000118246","protein_coding","FASTKD2","3"
"FAT1","ENSG00000083857","protein_coding","FAT1","1"
"FBL","ENSG00000105202","protein_coding","FBL","8"
"FBRS","ENSG00000156860","protein_coding","FBRS","4"
"FBXL14","ENSG00000171823","protein_coding","FBXL14","2"
"FBXO11","ENSG00000138081","protein_coding","FBXO11","2"
"FBXO22","ENSG00000167196","protein_coding","FBXO22","8"
"FBXO28","ENSG00000143756","protein_coding","FBXO28","1"
"FBXO34","ENSG00000178974","protein_coding","FBXO34","1"
"FBXW7","ENSG00000109670","protein_coding","FBXW7","6"
"FCHSD1","ENSG00000197948","protein_coding","FCHSD1","4"
"FEN1","ENSG00000168496","protein_coding","FEN1","2"
"FGF9","ENSG00000102678","protein_coding","FGF9","1"
"FGFR3","ENSG00000068078","protein_coding","FGFR3","6"
"FIGN","ENSG00000182263","protein_coding","FIGN","3"
"FIGNL1","ENSG00000132436","protein_coding","FIGNL1","2"
"FKBP3","ENSG00000100442","protein_coding","FKBP3","3"
"FKBP4","ENSG00000004478","protein_coding","FKBP4","2"
"FLJ27365","ENSG00000197182","protein_coding","FLJ27365","1"
"FLNB","ENSG00000136068","protein_coding","FLNB","8"
"FLOT1","ENSG00000137312","protein_coding","FLOT1","8"
"FLOT2","ENSG00000132589","protein_coding","FLOT2","4"
"FNBP1L","ENSG00000137942","protein_coding","FNBP1L","4"
"FNBP4","ENSG00000109920","protein_coding","FNBP4","1"
"FNDC3A","ENSG00000102531","protein_coding","FNDC3A","3"
"FOXA1","ENSG00000129514","protein_coding","FOXA1","1"
"FOXD1","ENSG00000251493","protein_coding","FOXD1","1"
"FOXJ3","ENSG00000198815","protein_coding","FOXJ3","6"
"FOXK2","ENSG00000141568","protein_coding","FOXK2","4"
"FOXM1","ENSG00000111206","protein_coding","FOXM1","3"
"FOXN3","ENSG00000053254","protein_coding","FOXN3","10"
"FOXN4","ENSG00000139445","protein_coding","FOXN4","4"
"FRMD6","ENSG00000139926","protein_coding","FRMD6","5"
"FRMPD2","ENSG00000170324","protein_coding","FRMPD2","3"
"FTH1","ENSG00000167996","protein_coding","FTH1","13"
"FTH1P11","ENSG00000237264","pseudogene","FTH1P11","1"
"FTSJ2","ENSG00000122687","protein_coding","FTSJ2","2"
"FUS","ENSG00000089280","protein_coding","FUS","8"
"FUT8","ENSG00000033170","protein_coding","FUT8","6"
"FXYD5","ENSG00000089327","protein_coding","FXYD5","1"
"FZD1","ENSG00000157240","protein_coding","FZD1","1"
"FZD4","ENSG00000174804","protein_coding","FZD4","1"
"FZR1","ENSG00000105325","protein_coding","FZR1","5"
"GAA","ENSG00000171298","protein_coding","GAA","3"
"GABRB1","ENSG00000163288","protein_coding","GABRB1","3"
"GAK","ENSG00000178950","protein_coding","GAK","3"
"GALNT7","ENSG00000109586","protein_coding","GALNT7","2"
"GAPDHP61","ENSG00000248415","pseudogene","GAPDHP61","1"
"GARS","ENSG00000106105","protein_coding","GARS","1"
"GART","ENSG00000159131","protein_coding","GART","9"
"GAS2L3","ENSG00000139354","protein_coding","GAS2L3","4"
"GAS5","ENSG00000234741","processed_transcript","GAS5","12"
"GATA4","ENSG00000136574","protein_coding","GATA4","4"
"GATAD2A","ENSG00000167491","protein_coding","GATAD2A","27"
"GCFC2","ENSG00000005436","protein_coding","GCFC2","6"
"GEN1","ENSG00000178295","protein_coding","GEN1","3"
"GFM2","ENSG00000164347","protein_coding","GFM2","3"
"GFOD2","ENSG00000141098","protein_coding","GFOD2","1"
"GGA1","ENSG00000100083","protein_coding","GGA1","12"
"GIT1","ENSG00000108262","protein_coding","GIT1","8"
"GJB3","ENSG00000188910","protein_coding","GJB3","1"
"GLA","ENSG00000102393","protein_coding","GLA","2"
"GLB1L2","ENSG00000149328","protein_coding","GLB1L2","3"
"GLO1","ENSG00000124767","protein_coding","GLO1","1"
"GLOD4","ENSG00000167699","protein_coding","GLOD4","5"
"GLT1D1","ENSG00000151948","protein_coding","GLT1D1","7"
"GLYAT","ENSG00000149124","protein_coding","GLYAT","3"
"GMNN","ENSG00000112312","protein_coding","GMNN","2"
"GMPPB","ENSG00000173540","protein_coding","GMPPB","1"
"GNAS","ENSG00000087460","protein_coding","GNAS","11"
"GNB2L1","ENSG00000204628","protein_coding","GNB2L1","75"
"GNB5","ENSG00000069966","protein_coding","GNB5","6"
"GNG10","ENSG00000242616","protein_coding","GNG10","1"
"GNGT1","ENSG00000127928","protein_coding","GNGT1","2"
"GNPDA2","ENSG00000163281","protein_coding","GNPDA2","4"
"GON4L","ENSG00000116580","protein_coding","GON4L","7"
"GOPC","ENSG00000047932","protein_coding","GOPC","3"
"GORASP2","ENSG00000115806","protein_coding","GORASP2","1"
"GOT1","ENSG00000120053","protein_coding","GOT1","2"
"GPATCH1","ENSG00000076650","protein_coding","GPATCH1","1"
"GPATCH8","ENSG00000186566","protein_coding","GPATCH8","8"
"GPBP1L1","ENSG00000159592","protein_coding","GPBP1L1","2"
"GPC6","ENSG00000183098","protein_coding","GPC6","1"
"GPI","ENSG00000105220","protein_coding","GPI","3"
"GPR55","ENSG00000135898","protein_coding","GPR55","2"
"GRB2","ENSG00000177885","protein_coding","GRB2","7"
"GREB1","ENSG00000196208","protein_coding","GREB1","4"
"GREB1L","ENSG00000141449","protein_coding","GREB1L","5"
"GSG2","ENSG00000177602","protein_coding","GSG2","1"
"GSPT1","ENSG00000103342","protein_coding","GSPT1","6"
"GSTCD","ENSG00000138780","protein_coding","GSTCD","3"
"GTF2A2","ENSG00000140307","protein_coding","GTF2A2","4"
"GTF2F1","ENSG00000125651","protein_coding","GTF2F1","3"
"GTF3C4","ENSG00000125484","protein_coding","GTF3C4","1"
"GTSE1","ENSG00000075218","protein_coding","GTSE1","3"
"H1FX","ENSG00000184897","protein_coding","H1FX","2"
"H2AFV","ENSG00000105968","protein_coding","H2AFV","1"
"H2AFX","ENSG00000188486","protein_coding","H2AFX","10"
"H2AFZ","ENSG00000164032","protein_coding","H2AFZ","2"
"H3F3B","ENSG00000132475","protein_coding","H3F3B","3"
"HAGH","ENSG00000063854","protein_coding","HAGH","9"
"HDAC2","ENSG00000196591","protein_coding","HDAC2","4"
"HDAC8","ENSG00000147099","protein_coding","HDAC8","1"
"HDGF","ENSG00000143321","protein_coding","HDGF","24"
"HDGFRP2","ENSG00000167674","protein_coding","HDGFRP2","5"
"HDHD1","ENSG00000130021","protein_coding","HDHD1","3"
"HDLBP","ENSG00000115677","protein_coding","HDLBP","8"
"HEATR2","ENSG00000164818","protein_coding","HEATR2","1"
"HECTD1","ENSG00000092148","protein_coding","HECTD1","4"
"HELZ","ENSG00000198265","protein_coding","HELZ","1"
"HERC2P10","ENSG00000259845","pseudogene","HERC2P10","1"
"HES4","ENSG00000188290","protein_coding","HES4","3"
"HFM1","ENSG00000162669","protein_coding","HFM1","22"
"HIAT1","ENSG00000156875","protein_coding","HIAT1","3"
"HIGD2A","ENSG00000146066","protein_coding","HIGD2A","1"
"HINT1","ENSG00000169567","protein_coding","HINT1","4"
"HIST1H1C","ENSG00000187837","protein_coding","HIST1H1C","1"
"HIST1H1E","ENSG00000168298","protein_coding","HIST1H1E","3"
"HIST1H2BC","ENSG00000180596","protein_coding","HIST1H2BC","2"
"HIST1H3B","ENSG00000124693","protein_coding","HIST1H3B","1"
"HIST1H4C","ENSG00000197061","protein_coding","HIST1H4C","4"
"HIST1H4D","ENSG00000188987","protein_coding","HIST1H4D","1"
"HIVEP2","ENSG00000010818","protein_coding","HIVEP2","3"
"HK2","ENSG00000159399","protein_coding","HK2","2"
"HKR1","ENSG00000181666","protein_coding","HKR1","12"
"HLCS","ENSG00000159267","protein_coding","HLCS","2"
"HMCES","ENSG00000183624","protein_coding","HMCES","1"
"HMGB1P10","ENSG00000213707","pseudogene","HMGB1P10","1"
"HMGB1P13","ENSG00000220557","pseudogene","HMGB1P13","1"
"HMGB2","ENSG00000164104","protein_coding","HMGB2","12"
"HNRNPA0","ENSG00000177733","protein_coding","HNRNPA0","2"
"HNRNPA1","ENSG00000135486","protein_coding","HNRNPA1","8"
"HNRNPA2B1","ENSG00000122566","protein_coding","HNRNPA2B1","36"
"HNRNPAB","ENSG00000197451","protein_coding","HNRNPAB","3"
"HNRNPC","ENSG00000092199","protein_coding","HNRNPC","31"
"HNRNPH1","ENSG00000169045","protein_coding","HNRNPH1","63"
"HNRNPH3","ENSG00000096746","protein_coding","HNRNPH3","9"
"HNRNPL","ENSG00000104824","protein_coding","HNRNPL","3"
"HNRNPR","ENSG00000125944","protein_coding","HNRNPR","18"
"HNRNPU","ENSG00000153187","protein_coding","HNRNPU","3"
"HNRNPU-AS1","ENSG00000188206","antisense","HNRNPU-AS1","3"
"HNRNPUL1","ENSG00000105323","protein_coding","HNRNPUL1","8"
"HOMER2","ENSG00000103942","protein_coding","HOMER2","1"
"HOOK3","ENSG00000168172","protein_coding","HOOK3","1"
"HOTAIR","ENSG00000228630","antisense","HOTAIR","1"
"HOXA10","ENSG00000253293","protein_coding","HOXA10","4"
"HOXA9","ENSG00000078399","protein_coding","HOXA9","2"
"HOXB2","ENSG00000173917","protein_coding","HOXB2","1"
"HOXB3","ENSG00000120093","protein_coding","HOXB3","9"
"HOXC4","ENSG00000198353","protein_coding","HOXC4","2"
"HOXD11","ENSG00000128713","protein_coding","HOXD11","1"
"HP1BP3","ENSG00000127483","protein_coding","HP1BP3","2"
"HPRT1","ENSG00000165704","protein_coding","HPRT1","3"
"HR","ENSG00000168453","protein_coding","HR","2"
"HS2ST1","ENSG00000153936","protein_coding","HS2ST1","3"
"HS6ST3","ENSG00000185352","protein_coding","HS6ST3","1"
"hsa-mir-6723","ENSG00000237973","pseudogene","hsa-mir-6723","1"
"HSD17B12","ENSG00000149084","protein_coding","HSD17B12","1"
"HSP90AA1","ENSG00000080824","protein_coding","HSP90AA1","27"
"HSP90AB1","ENSG00000096384","protein_coding","HSP90AB1","9"
"HSP90B1","ENSG00000166598","protein_coding","HSP90B1","2"
"HSPA1B","ENSG00000204388","protein_coding","HSPA1B","1"
"HSPA8","ENSG00000109971","protein_coding","HSPA8","11"
"HSPD1","ENSG00000144381","protein_coding","HSPD1","8"
"HUWE1","ENSG00000086758","protein_coding","HUWE1","4"
"IARS","ENSG00000196305","protein_coding","IARS","3"
"ICT1","ENSG00000167862","protein_coding","ICT1","2"
"IGBP1","ENSG00000089289","protein_coding","IGBP1","2"
"IGF2R","ENSG00000197081","protein_coding","IGF2R","1"
"IKBKG","ENSG00000073009","protein_coding","IKBKG","6"
"IL13RA1","ENSG00000131724","protein_coding","IL13RA1","1"
"IL17RD","ENSG00000144730","protein_coding","IL17RD","1"
"IL1RAPL2","ENSG00000189108","protein_coding","IL1RAPL2","2"
"IL27RA","ENSG00000104998","protein_coding","IL27RA","1"
"ILF3","ENSG00000129351","protein_coding","ILF3","9"
"ILVBL","ENSG00000105135","protein_coding","ILVBL","3"
"IMMT","ENSG00000132305","protein_coding","IMMT","8"
"INO80D","ENSG00000114933","protein_coding","INO80D","1"
"INTS6","ENSG00000102786","protein_coding","INTS6","25"
"IP6K2","ENSG00000068745","protein_coding","IP6K2","2"
"IPO9","ENSG00000198700","protein_coding","IPO9","2"
"IQCE","ENSG00000106012","protein_coding","IQCE","2"
"IQGAP1","ENSG00000140575","protein_coding","IQGAP1","3"
"IQSEC1","ENSG00000144711","protein_coding","IQSEC1","2"
"IRAK1BP1","ENSG00000146243","protein_coding","IRAK1BP1","1"
"IREB2","ENSG00000136381","protein_coding","IREB2","1"
"IRS2","ENSG00000185950","protein_coding","IRS2","1"
"IRS4","ENSG00000133124","protein_coding","IRS4","1"
"IWS1","ENSG00000163166","protein_coding","IWS1","3"
"KANK1","ENSG00000107104","protein_coding","KANK1","5"
"KANSL2","ENSG00000139620","protein_coding","KANSL2","12"
"KAT6B","ENSG00000156650","protein_coding","KAT6B","5"
"KAT8","ENSG00000103510","protein_coding","KAT8","3"
"KBTBD6","ENSG00000165572","protein_coding","KBTBD6","1"
"KBTBD8","ENSG00000163376","protein_coding","KBTBD8","3"
"KCNB2","ENSG00000182674","protein_coding","KCNB2","1"
"KCNQ1","ENSG00000053918","protein_coding","KCNQ1","3"
"KCTD15","ENSG00000153885","protein_coding","KCTD15","2"
"KCTD3","ENSG00000136636","protein_coding","KCTD3","1"
"KCTD5","ENSG00000167977","protein_coding","KCTD5","1"
"KDM3B","ENSG00000120733","protein_coding","KDM3B","5"
"KDM5A","ENSG00000073614","protein_coding","KDM5A","2"
"KHSRP","ENSG00000088247","protein_coding","KHSRP","15"
"KIAA0020","ENSG00000080608","protein_coding","KIAA0020","1"
"KIAA0355","ENSG00000166398","protein_coding","KIAA0355","3"
"KIAA0368","ENSG00000136813","protein_coding","KIAA0368","2"
"KIAA0753","ENSG00000198920","protein_coding","KIAA0753","7"
"KIAA0825","ENSG00000185261","protein_coding","KIAA0825","2"
"KIAA0907","ENSG00000132680","protein_coding","KIAA0907","3"
"KIAA0922","ENSG00000121210","protein_coding","KIAA0922","4"
"KIAA1009","ENSG00000135315","protein_coding","KIAA1009","2"
"KIF11","ENSG00000138160","protein_coding","KIF11","1"
"KIF13B","ENSG00000197892","protein_coding","KIF13B","2"
"KIF1B","ENSG00000054523","protein_coding","KIF1B","2"
"KIF20A","ENSG00000112984","protein_coding","KIF20A","2"
"KIF22","ENSG00000079616","protein_coding","KIF22","2"
"KIFC1","ENSG00000237649","protein_coding","KIFC1","1"
"KIR3DL1","ENSG00000167633","protein_coding","KIR3DL1","5"
"KIT","ENSG00000157404","protein_coding","KIT","1"
"KLC1","ENSG00000126214","protein_coding","KLC1","14"
"KLF11","ENSG00000172059","protein_coding","KLF11","3"
"KLF12","ENSG00000118922","protein_coding","KLF12","1"
"KLHDC10","ENSG00000128607","protein_coding","KLHDC10","1"
"KLHDC3","ENSG00000124702","protein_coding","KLHDC3","3"
"KLHDC4","ENSG00000104731","protein_coding","KLHDC4","14"
"KLHL15","ENSG00000174010","protein_coding","KLHL15","3"
"KLHL28","ENSG00000179454","protein_coding","KLHL28","1"
"KLHL29","ENSG00000119771","protein_coding","KLHL29","2"
"KLHL42","ENSG00000087448","protein_coding","KLHL42","1"
"KLHL7","ENSG00000122550","protein_coding","KLHL7","6"
"KLHL8","ENSG00000145332","protein_coding","KLHL8","5"
"KMT2C","ENSG00000055609","protein_coding","KMT2C","2"
"KNTC1","ENSG00000184445","protein_coding","KNTC1","2"
"KPNA2","ENSG00000182481","protein_coding","KPNA2","2"
"KPNB1","ENSG00000108424","protein_coding","KPNB1","9"
"KRCC1","ENSG00000172086","protein_coding","KRCC1","1"
"LAMC1","ENSG00000135862","protein_coding","LAMC1","1"
"LAMC3","ENSG00000050555","protein_coding","LAMC3","2"
"LAPTM4B","ENSG00000104341","protein_coding","LAPTM4B","1"
"LARP1","ENSG00000155506","protein_coding","LARP1","1"
"LARP4","ENSG00000161813","protein_coding","LARP4","6"
"LARP4B","ENSG00000107929","protein_coding","LARP4B","1"
"LARS","ENSG00000133706","protein_coding","LARS","4"
"LBH","ENSG00000213626","protein_coding","LBH","5"
"LCP1","ENSG00000136167","protein_coding","LCP1","3"
"LDHB","ENSG00000111716","protein_coding","LDHB","6"
"LEPR","ENSG00000116678","protein_coding","LEPR","1"
"LEPROTL1","ENSG00000104660","protein_coding","LEPROTL1","7"
"LETMD1","ENSG00000050426","protein_coding","LETMD1","31"
"LHFPL2","ENSG00000145685","protein_coding","LHFPL2","1"
"LHPP","ENSG00000107902","protein_coding","LHPP","4"
"LIG1","ENSG00000105486","protein_coding","LIG1","8"
"LIN52","ENSG00000205659","protein_coding","LIN52","3"
"LIN7C","ENSG00000148943","protein_coding","LIN7C","2"
"LINC00493","ENSG00000232388","lincRNA","LINC00493","2"
"LINC00535","ENSG00000246662","antisense","LINC00535","1"
"LINC01004","ENSG00000228393","antisense","LINC01004","2"
"LIPJ","ENSG00000204022","protein_coding","LIPJ","2"
"LMAN1","ENSG00000074695","protein_coding","LMAN1","1"
"LMO4","ENSG00000143013","protein_coding","LMO4","1"
"LONP1","ENSG00000196365","protein_coding","LONP1","6"
"LPCAT1","ENSG00000153395","protein_coding","LPCAT1","4"
"LPGAT1","ENSG00000123684","protein_coding","LPGAT1","1"
"LRCH3","ENSG00000186001","protein_coding","LRCH3","1"
"LRP12","ENSG00000147650","protein_coding","LRP12","2"
"LRP1B","ENSG00000168702","protein_coding","LRP1B","2"
"LRP6","ENSG00000070018","protein_coding","LRP6","2"
"LRRC47","ENSG00000130764","protein_coding","LRRC47","1"
"LRRC69","ENSG00000214954","protein_coding","LRRC69","3"
"LRRC8D","ENSG00000171492","protein_coding","LRRC8D","2"
"LRRD1","ENSG00000240720","protein_coding","LRRD1","6"
"LRRFIP1","ENSG00000124831","protein_coding","LRRFIP1","6"
"LSM14A","ENSG00000257103","protein_coding","LSM14A","11"
"LSM4","ENSG00000130520","protein_coding","LSM4","3"
"LSR","ENSG00000105699","protein_coding","LSR","8"
"LTB4R","ENSG00000213903","protein_coding","LTB4R","1"
"LUC7L3","ENSG00000108848","protein_coding","LUC7L3","7"
"LUZP1","ENSG00000169641","protein_coding","LUZP1","4"
"LYRM4","ENSG00000214113","protein_coding","LYRM4","1"
"LYSMD3","ENSG00000176018","protein_coding","LYSMD3","3"
"MACROD2","ENSG00000172264","protein_coding","MACROD2","5"
"MAEA","ENSG00000090316","protein_coding","MAEA","7"
"MAGI1","ENSG00000151276","protein_coding","MAGI1","5"
"MALAT1","ENSG00000251562","lincRNA","MALAT1","9"
"MAP1S","ENSG00000130479","protein_coding","MAP1S","2"
"MAP3K3","ENSG00000198909","protein_coding","MAP3K3","6"
"MAP3K4","ENSG00000085511","protein_coding","MAP3K4","8"
"MAP3K5","ENSG00000197442","protein_coding","MAP3K5","1"
"MAP4K4","ENSG00000071054","protein_coding","MAP4K4","1"
"MAP7","ENSG00000135525","protein_coding","MAP7","4"
"MAP7D1","ENSG00000116871","protein_coding","MAP7D1","5"
"MAP9","ENSG00000164114","protein_coding","MAP9","1"
"MAPK1","ENSG00000100030","protein_coding","MAPK1","1"
"MAPK6","ENSG00000069956","protein_coding","MAPK6","1"
"MAPRE1","ENSG00000101367","protein_coding","MAPRE1","1"
"MARC1","ENSG00000186205","protein_coding","MARC1","2"
"MARCH6","ENSG00000145495","protein_coding","MARCH6","14"
"MARCH7","ENSG00000136536","protein_coding","MARCH7","1"
"MARCKS","ENSG00000155130","protein_coding","MARCKS","1"
"MARS","ENSG00000166986","protein_coding","MARS","4"
"MAT2B","ENSG00000038274","protein_coding","MAT2B","3"
"MATR3","ENSG00000015479","protein_coding","MATR3","18"
"MAZ","ENSG00000103495","protein_coding","MAZ","37"
"MBD1","ENSG00000141644","protein_coding","MBD1","9"
"MBD5","ENSG00000204406","protein_coding","MBD5","4"
"MBNL1","ENSG00000152601","protein_coding","MBNL1","11"
"MCF2","ENSG00000101977","protein_coding","MCF2","8"
"MCF2L","ENSG00000126217","protein_coding","MCF2L","14"
"MCIDAS","ENSG00000234602","protein_coding","MCIDAS","3"
"MCL1","ENSG00000143384","protein_coding","MCL1","2"
"MCM3AP","ENSG00000160294","protein_coding","MCM3AP","2"
"MCM6","ENSG00000076003","protein_coding","MCM6","1"
"MCM7","ENSG00000166508","protein_coding","MCM7","2"
"MCRS1","ENSG00000187778","protein_coding","MCRS1","4"
"MCUR1","ENSG00000050393","protein_coding","MCUR1","3"
"MDH1","ENSG00000014641","protein_coding","MDH1","14"
"MDM2","ENSG00000135679","protein_coding","MDM2","30"
"MDN1","ENSG00000112159","protein_coding","MDN1","3"
"MECR","ENSG00000116353","protein_coding","MECR","11"
"MED13","ENSG00000108510","protein_coding","MED13","1"
"MED13L","ENSG00000123066","protein_coding","MED13L","2"
"MED23","ENSG00000112282","protein_coding","MED23","8"
"MED24","ENSG00000008838","protein_coding","MED24","7"
"MED6","ENSG00000133997","protein_coding","MED6","2"
"MEOX2","ENSG00000106511","protein_coding","MEOX2","1"
"MESDC2","ENSG00000117899","protein_coding","MESDC2","1"
"Metazoa_SRP","ENSG00000272019","misc_RNA","Metazoa_SRP","1"
"METTL13","ENSG00000010165","protein_coding","METTL13","3"
"METTL23","ENSG00000181038","protein_coding","METTL23","6"
"METTL24","ENSG00000053328","protein_coding","METTL24","1"
"METTL2B","ENSG00000165055","protein_coding","METTL2B","2"
"MGEA5","ENSG00000198408","protein_coding","MGEA5","8"
"MGRN1","ENSG00000102858","protein_coding","MGRN1","9"
"MIB1","ENSG00000101752","protein_coding","MIB1","1"
"MICAL3","ENSG00000243156","protein_coding","MICAL3","4"
"MICU1","ENSG00000107745","protein_coding","MICU1","5"
"MID1","ENSG00000101871","protein_coding","MID1","6"
"MIDN","ENSG00000167470","protein_coding","MIDN","2"
"MIER2","ENSG00000105556","protein_coding","MIER2","1"
"MIF","ENSG00000240972","protein_coding","MIF","2"
"MIR17HG","ENSG00000215417","processed_transcript","MIR17HG","3"
"MIR203","ENSG00000207568","miRNA","MIR203","1"
"MIR221","ENSG00000207870","miRNA","MIR221","1"
"MIR22HG","ENSG00000186594","lincRNA","MIR22HG","20"
"MIR23A","ENSG00000207980","miRNA","MIR23A","1"
"MIR31HG","ENSG00000171889","sense_overlapping","MIR31HG","2"
"MIR3607","ENSG00000199262","snoRNA","MIR3607","1"
"MIR3976","ENSG00000272380","miRNA","MIR3976","1"
"MIR423","ENSG00000199071","miRNA","MIR423","1"
"MIR663A","ENSG00000227195","processed_transcript","MIR663A","18"
"MIS18BP1","ENSG00000129534","protein_coding","MIS18BP1","3"
"MKI67","ENSG00000148773","protein_coding","MKI67","2"
"MKLN1","ENSG00000128585","protein_coding","MKLN1","4"
"MKRN1","ENSG00000133606","protein_coding","MKRN1","4"
"MLH1","ENSG00000076242","protein_coding","MLH1","17"
"MLTK","ENSG00000091436","protein_coding","MLTK","9"
"MMP15","ENSG00000102996","protein_coding","MMP15","2"
"MMS22L","ENSG00000146263","protein_coding","MMS22L","2"
"MN1","ENSG00000169184","protein_coding","MN1","3"
"MOB1A","ENSG00000114978","protein_coding","MOB1A","1"
"MORF4L2","ENSG00000123562","protein_coding","MORF4L2","12"
"MPDZ","ENSG00000107186","protein_coding","MPDZ","7"
"MPHOSPH9","ENSG00000051825","protein_coding","MPHOSPH9","2"
"MPI","ENSG00000178802","protein_coding","MPI","7"
"MPP1","ENSG00000130830","protein_coding","MPP1","13"
"MPRIP","ENSG00000133030","protein_coding","MPRIP","1"
"MRFAP1","ENSG00000179010","protein_coding","MRFAP1","2"
"MRFAP1L1","ENSG00000178988","protein_coding","MRFAP1L1","1"
"MRPL17","ENSG00000158042","protein_coding","MRPL17","2"
"MRPL22","ENSG00000082515","protein_coding","MRPL22","3"
"MRPL27","ENSG00000108826","protein_coding","MRPL27","4"
"MRPL37","ENSG00000116221","protein_coding","MRPL37","1"
"MRPL4","ENSG00000105364","protein_coding","MRPL4","1"
"MRPL44","ENSG00000135900","protein_coding","MRPL44","1"
"MRPL47","ENSG00000136522","protein_coding","MRPL47","2"
"MRPS14","ENSG00000120333","protein_coding","MRPS14","1"
"MRPS18B","ENSG00000204568","protein_coding","MRPS18B","1"
"MRPS21","ENSG00000187145","protein_coding","MRPS21","1"
"MRPS24","ENSG00000062582","protein_coding","MRPS24","4"
"MRPS26","ENSG00000125901","protein_coding","MRPS26","2"
"MRPS27","ENSG00000113048","protein_coding","MRPS27","8"
"MRPS6","ENSG00000243927","protein_coding","MRPS6","3"
"MST4","ENSG00000134602","protein_coding","MST4","3"
"MT-ATP6","ENSG00000198899","protein_coding","MT-ATP6","2"
"MT-CO1","ENSG00000198804","protein_coding","MT-CO1","6"
"MT-CO2","ENSG00000198712","protein_coding","MT-CO2","5"
"MT-CO3","ENSG00000198938","protein_coding","MT-CO3","6"
"MT-CYB","ENSG00000198727","protein_coding","MT-CYB","4"
"MT-ND1","ENSG00000198888","protein_coding","MT-ND1","4"
"MT-ND2","ENSG00000198763","protein_coding","MT-ND2","2"
"MT-ND3","ENSG00000198840","protein_coding","MT-ND3","4"
"MT-ND4","ENSG00000198886","protein_coding","MT-ND4","6"
