"Target gene symbol","Target gene ID","Target gene type","Target gene exp. level","Binding site records"
"ASTN1","ENSG00000152092","protein_coding","ASTN1","2"
"ASUN","ENSG00000064102","protein_coding","ASUN","4"
"ATF2","ENSG00000115966","protein_coding","ATF2","3"
"ATF4","ENSG00000128272","protein_coding","ATF4","1"
"ATF4P4","ENSG00000256167","pseudogene","ATF4P4","2"
"ATF7IP","ENSG00000171681","protein_coding","ATF7IP","6"
"ATG7","ENSG00000197548","protein_coding","ATG7","4"
"ATN1","ENSG00000111676","protein_coding","ATN1","2"
"ATP11A","ENSG00000068650","protein_coding","ATP11A","8"
"ATP11C","ENSG00000101974","protein_coding","ATP11C","7"
"ATP1A1","ENSG00000163399","protein_coding","ATP1A1","5"
"ATP2B1","ENSG00000070961","protein_coding","ATP2B1","4"
"ATP5A1","ENSG00000152234","protein_coding","ATP5A1","8"
"ATP5B","ENSG00000110955","protein_coding","ATP5B","22"
"ATP5E","ENSG00000124172","protein_coding","ATP5E","3"
"ATP5G2","ENSG00000135390","protein_coding","ATP5G2","5"
"ATP5G3","ENSG00000154518","protein_coding","ATP5G3","4"
"ATP6AP2","ENSG00000182220","protein_coding","ATP6AP2","1"
"ATP6V0D1","ENSG00000159720","protein_coding","ATP6V0D1","9"
"ATP6V1G2-DDX39B","ENSG00000254870","protein_coding","ATP6V1G2-DDX39B","2"
"ATP9A","ENSG00000054793","protein_coding","ATP9A","2"
"ATR","ENSG00000175054","protein_coding","ATR","3"
"ATRX","ENSG00000085224","protein_coding","ATRX","3"
"ATXN1L","ENSG00000224470","protein_coding","ATXN1L","1"
"ATXN2","ENSG00000204842","protein_coding","ATXN2","6"
"AUNIP","ENSG00000127423","protein_coding","AUNIP","2"
"AURKB","ENSG00000178999","protein_coding","AURKB","9"
"B2M","ENSG00000166710","protein_coding","B2M","15"
"B3GALNT2","ENSG00000162885","protein_coding","B3GALNT2","3"
"BABAM1","ENSG00000105393","protein_coding","BABAM1","14"
"BACH2","ENSG00000112182","protein_coding","BACH2","9"
"BAIAP2","ENSG00000175866","protein_coding","BAIAP2","14"
"BAZ1A","ENSG00000198604","protein_coding","BAZ1A","4"
"BCL2L2","ENSG00000129473","protein_coding","BCL2L2","1"
"BCLAF1","ENSG00000029363","protein_coding","BCLAF1","4"
"BCS1L","ENSG00000074582","protein_coding","BCS1L","1"
"BEX4","ENSG00000102409","protein_coding","BEX4","2"
"BIRC5","ENSG00000089685","protein_coding","BIRC5","4"
"BIRC6","ENSG00000115760","protein_coding","BIRC6","1"
"BLOC1S5","ENSG00000188428","protein_coding","BLOC1S5","3"
"BMI1","ENSG00000168283","protein_coding","BMI1","2"
